t(s),r(m),v (m/s),FPA (rad),Longitude (rad),Latitude (rad),Heading angle (rad),Heat transfer (W/m2),Heat load (J/m2)
164.853870933376,3455985.63704629,5209.32015481205,0.0562050595946581,0.307500504839361,0.493113393816687,-0.486107733607131,115577.111051151,20493220.7481457
167.601435448932,3456810.95621918,5196.83978822031,0.0592125402524694,0.311640080232015,0.491180346569014,-0.488256789453902,108717.043625222,20800938.6691123
170.348999964489,3457675.37353049,5185.57983376942,0.0621592517364007,0.315760262595131,0.489244830272361,-0.490389785317541,102060.277892477,21090819.6269178
173.096564480045,3458580.37050168,5175.50627886334,0.0650460535451209,0.319860929422441,0.487306425853879,-0.492506350022056,95635.7704019645,21362610.608477
175.844128995601,3459523.62803735,5166.53536914082,0.0678796846464084,0.323943528614585,0.485364793074056,-0.494607274937558,89411.6983500093,21616749.7614258
178.591693511157,3460505.90573454,5158.53397577515,0.0706630490563261,0.328008561657005,0.483419786017743,-0.496692872569215,83375.044998906,21854398.1429524
181.339258026714,3461524.77884141,5151.45192986351,0.0734026397774926,0.332057261411948,0.481471059766242,-0.498763745283888,77589.7699285706,22075597.4833737
184.08682254227,3462581.52296946,5145.17509864929,0.076100784684478,0.336089779783553,0.479518447016175,-0.500819918589279,72059.0933852717,22281306.041888
186.834387057826,3463674.7990937,5139.63408236109,0.0787626922405332,0.340106980796659,0.477561715909588,-0.502861831007811,66795.1993085849,22472042.921258
189.581951573383,3464803.5390129,5134.71598700616,0.0813929223835043,0.344109684813179,0.475600855838475,-0.504890063426805,61811.4093963213,22649028.6528527
192.329516088939,3465968.42567615,5130.36854102401,0.0839940634598709,0.348097980639742,0.473635611787276,-0.506904495088061,57141.9042946545,22812653.2835209
195.077080604495,3467168.56381243,5126.50900823782,0.0865701272867715,0.352072419106765,0.471665933493323,-0.508905447285052,52743.8661889714,22963711.3336704
197.824645120051,3468404.09234803,5123.07535388455,0.0891236281319222,0.356033339492846,0.469691733262509,-0.510893122165547,48571.0298379942,23103090.825764
200.572209635608,3469674.0486609,5120.00175549041,0.0916581792526149,0.359981133647336,0.467712981931137,-0.512867708436092,44700.8133585593,23231416.1845409
203.319774151164,3470977.66862715,5117.23020900374,0.0941757888772428,0.363916524539217,0.465729820385357,-0.514829896237015,41141.103341725,23350033.955194
206.06733866672,3472319.58134837,5114.74221423401,0.0966778792731514,0.367837531751214,0.463741427571718,-0.516777437788653,37873.2882270119,23457850.897229
208.814903182276,3473694.70802055,5112.46239507353,0.0991673583803292,0.371746664617956,0.461748637276866,-0.518712944801574,34818.9345588601,23557836.8989041
211.562467697833,3475101.31461781,5110.34951481329,0.101646170039361,0.375644479588133,0.459751661815042,-0.520636901253229,31954.5746850531,23650608.2812768
214.310032213389,3476541.1870722,5108.38954384704,0.104115958405575,0.379529766254131,0.457750058673578,-0.522547845885999,29294.196178517,23734968.3036803
217.057596728945,3478016.90260865,5106.57619810397,0.106575777410152,0.383402579999192,0.455743752929441,-0.52444601118712,26819.5410881678,23812441.4699666
219.805161244501,3479527.02770061,5104.87792925917,0.109027053760246,0.387263304117165,0.453732943854087,-0.526331730605566,24502.2449708883,23883480.6954483
222.552725760058,3481069.19235534,5103.2571327351,0.111472299714606,0.39111207942307,0.451717790348943,-0.528204948481645,22319.3887138966,23947682.7645339
225.300290275614,3482645.83275278,5101.71837019417,0.113910867408416,0.394948968486465,0.449698185752522,-0.530065880040449,20251.9813772448,24006443.2334935
228.04785479117,3484256.51676921,5100.24506684022,0.116343357546811,0.398773992949275,0.447674236129516,-0.531914528841856,18304.5931430773,24059921.0037303
230.795419306727,3485899.08865837,5098.80640497527,0.11877139669451,0.402587190998917,0.445646151493788,-0.533750796734449,16484.7282987608,24107601.1612397
233.542983822283,3487575.70799268,5097.40892590348,0.12119462028698,0.406388686761663,0.443613821506119,-0.53557494333951,14767.4402483409,24150780.4419595
236.290548337839,3489286.12467901,5096.04370150587,0.123613315279809,0.410178416478864,0.441577350247413,-0.53738690403062,13161.3219402758,24189639.7747978
239.038112853395,3491028.54500519,5094.6895613527,0.126028395369396,0.413956265924227,0.439536962714105,-0.539186470478838,11689.0531582363,24223695.1262215
241.785677368952,3492804.68178354,5093.3525682375,0.128439659868277,0.417722483141391,0.437492580079979,-0.540974023888169,10320.3535693804,24254135.7474227
244.533241884508,3494614.17897314,5092.02659381866,0.130847325702126,0.421477068493081,0.435444324244384,-0.542749572557969,9058.33931954031,24281225.1148334
247.280806400064,3496455.34635426,5090.69581945863,0.13325198848122,0.425219872437098,0.433392436419101,-0.544512889402521,7926.89086135315,24304591.5609038
250.02837091562,3498330.00607615,5089.36323496775,0.135653556335524,0.428951000658842,0.431336803251431,-0.546264194029168,6897.73550456344,24325117.27105
252.775935431177,3500238.07509983,5088.02715127477,0.138052077922968,0.432670468438415,0.429277524077094,-0.548003530283292,5965.2402502734,24343169.556108
255.523499946733,3502177.69151955,5086.67787073122,0.140447886133852,0.436378175483569,0.427214883337122,-0.549730734694454,5148.59234043984,24358524.4641645
258.271064462289,3504150.31400092,5085.31575869158,0.142840980332131,0.44007422037418,0.425148796896365,-0.551446005957749,4422.88838298469,24371785.8078026
261.018628977845,3506156.2020812,5083.94094382035,0.145231338946768,0.443758618292412,0.423079324633915,-0.553149402975773,3776.96732177772,24383337.0560474
263.766193493402,3508193.56130143,5082.54850236522,0.147619097799172,0.447431257419964,0.421006758531722,-0.554840757678406,3226.15506784745,24393077.350825
266.513758008958,3510263.14497232,5081.13681420187,0.150004294284544,0.451092196949052,0.418931154383458,-0.556520222514965,2748.67141561993,24401495.4882162
269.261322524514,3512365.88036648,5079.7072539488,0.1523868881696,0.454741498547424,0.416852417894659,-0.558187910314221,2331.7283481229,24408785.2188492
272.008887040071,3514501,5078.26015112619,0.154766875183554,0.458379106298741,0.414770556130672,-0.559843695101035,1992.01725332323,24414608.5148362
